epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,2849.47,0.0239,0.99911,1,0.0019,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,2906.33,0.02515,0.99926,1,0.00193,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,2963.43,0.02625,0.99926,1,0.0023,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,3039.39,0.01892,0.99941,1,0.00194,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,3096.91,0.0201,0.99941,1,0.00202,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,3153.81,0.02133,0.99941,1,0.00214,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,3211.37,0.01799,0.99941,1,0.00223,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,3268.26,0.01596,0.99941,1,0.00232,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,3325.73,0.01549,0.99926,1,0.00241,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,3382.76,0.01495,0.99926,1,0.00247,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,3440.41,0.01537,0.99926,1,0.00252,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,3499.59,0.01378,0.99926,1,0.00255,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,3556.91,0.01213,0.99926,1,0.00258,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
